Date : 2022-04-24 16:20:24
Directory : /Users/AmitBoost/Desktop/Programming/reminderApp/frontend
Total : 240 files,  59899 codes, 19384 comments, 18302 blanks, all 97585 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| components                                                                                                                            |         19 |      1,106 |        140 |        104 |      1,350 |
| components/reminder                                                                                                                   |          6 |        455 |        104 |         43 |        602 |
| components/user                                                                                                                       |          6 |        347 |         17 |         29 |        393 |
| lib                                                                                                                                   |         11 |        353 |         23 |         49 |        425 |
| pages                                                                                                                                 |          6 |        236 |         27 |         18 |        281 |
| pages/order                                                                                                                           |          1 |         68 |          5 |          4 |         77 |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                                              | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/build-manifest.json                                                   | JSON       |         39 |          0 |          0 |         39 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/react-loadable-manifest.json                                          | JSON       |          8 |          0 |          0 |          8 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_ErrorMessage_js.js                                  | JavaScript |         10 |         11 |          4 |         25 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_user_User_js-lib_ModalTemplate_js-lib_useForm_js.js | JavaScript |         20 |         17 |         10 |         47 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/components_user_User_js.js                                     | JavaScript |         10 |         11 |          4 |         25 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/lib_ModalTemplate_js-lib_useForm_js.js                         | JavaScript |         15 |         14 |          7 |         36 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages-manifest.json                                            | JSON       |          7 |          0 |          0 |          7 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_app.js                                                  | JavaScript |        151 |         94 |         87 |        332 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_document.js                                             | JavaScript |         58 |         36 |         30 |        124 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/_error.js                                                | JavaScript |         23 |         15 |          9 |         47 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/index.js                                                 | JavaScript |        178 |        108 |        102 |        388 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/next/dist/pages/_error.js                                | JavaScript |         23 |         15 |          9 |         47 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/order/[id].js                                            | JavaScript |         68 |         42 |         36 |        146 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/pages/upgrade.js                                               | JavaScript |         93 |         57 |         51 |        201 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/vendors-node_modules_next_dist_pages__document_js.js           | JavaScript |         42 |         32 |         25 |         99 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/vendors-node_modules_next_dist_pages__error_js.js              | JavaScript |         14 |         14 |          7 |         35 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/vendors-node_modules_next_link_js.js                           | JavaScript |        121 |         80 |         73 |        274 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/server/webpack-runtime.js                                             | JavaScript |        134 |         34 |          0 |        168 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/amp.js                                                  | JavaScript |         50 |         36 |         28 |        114 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/main.js                                                 | JavaScript |        590 |        379 |        370 |      1,339 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/node_modules_next_dist_client_dev_noop_js.js            | JavaScript |         35 |         37 |          7 |         79 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/_app.js                                           | JavaScript |      5,625 |      3,299 |      3,335 |     12,259 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/_error.js                                         | JavaScript |         19 |         15 |          7 |         41 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/index.js                                          | JavaScript |      5,651 |      3,314 |      3,350 |     12,315 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/next/dist/pages/_error.js                         | JavaScript |        122 |         87 |         79 |        288 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/order/[id].js                                     | JavaScript |      5,753 |      3,393 |      3,428 |     12,574 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/pages/upgrade.js                                        | JavaScript |      5,771 |      3,399 |      3,434 |     12,604 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/polyfills.js                                            | JavaScript |         18 |         15 |          7 |         40 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/react-refresh.js                                        | JavaScript |         29 |         21 |         13 |         63 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/chunks/webpack.js                                              | JavaScript |      1,175 |        112 |          0 |      1,287 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/development/_buildManifest.js                                  | JavaScript |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/development/_ssgManifest.js                                    | JavaScript |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/053251b41178ce54872c.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/064291dc757f1c059347.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/06c828e02ab572d6d629.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/111534e8c6a74bd1fdf6.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/120d4dfe1ece97a34cb2.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/1d5043ec43f09b1bcf65.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/1f426b92a5f6010155dd.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/215e704ea72b81b47bfd.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/2632bb850dcf7a2c8e00.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/2647fdff0e056eef9768.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/26d3106fa7fb6961a665.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/271dbe64eeec906a79be.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/28176be5ede7ea8aa0bf.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/29985851f1b26d03c484.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/2cf7ea67bb6989d894f4.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/30cd06ecff7ad73f5e91.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/31f8695f41adf75f0176.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/3838d4131a861b4c9f3e.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/38bcbaa06cd52fa1424a.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/3e227d74f563e9b73655.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/3fdf87e2de6f1c12c706.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/407ba0d35c4402e56fe1.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/4150b9390bfcf0557b9b.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/41b5fea4e5f523a4d3ab.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/4cb37d9cf549a15a99e9.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/510f1f194fab47f119bb.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/5ea9f2ce18d5366c7a50.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/5ed2727cf53dbee343c6.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/6e18445510e2979b0eaf.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/761012f6f1f5e19f5e45.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/7b2006ae05a076e0ee10.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/85c3e809bad5d9b28c46.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/88765c817ca7d716399f.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/8ba49309ce4ea767b47a.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/8e8181e26df859965e5c.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/91d861227271d1e5bf9a.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/97ee05bcd9d95973c39d.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/98da0d81b7cc3e980bb9.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/9a361176b32882261299.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a2ccf2f8d140d248ddf6.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a339eff2f5f51937a169.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/a795d6f81822576a750b.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b003e1cc77e86b5281c6.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b2fbe4845ddd1ab8dba5.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b49052439488aa2b73e0.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/b6cdca29a67db4d82199.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/bc666fd2ade249bc51f0.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/bf019c7195967fcf6b80.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/c8ec046a7b2f9c192bf1.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/cb048c1c09180d3a9520.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/cf8a7fb0c439f8353a9c.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/d65be4fe89bc1e209b8e.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/ddbc483239a19fc7c8c6.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/e0614abbe21b08d2ae6e.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/e9cea46dc12141122637.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/eea15485ffeb9aa64262.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/f6279e0119eb604c3983.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/f81c0459b0e6f0d22be9.hot-update.json                   | JSON       |          1 |          0 |          0 |          1 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].053251b41178ce54872c.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].064291dc757f1c059347.hot-update.js    | JavaScript |        627 |        383 |        376 |      1,386 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].111534e8c6a74bd1fdf6.hot-update.js    | JavaScript |        561 |        345 |        336 |      1,242 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].120d4dfe1ece97a34cb2.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].1d5043ec43f09b1bcf65.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].1f426b92a5f6010155dd.hot-update.js    | JavaScript |        182 |        129 |        121 |        432 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].215e704ea72b81b47bfd.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2632bb850dcf7a2c8e00.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2647fdff0e056eef9768.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].28176be5ede7ea8aa0bf.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].29985851f1b26d03c484.hot-update.js    | JavaScript |      4,210 |      2,448 |      2,487 |      9,145 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].2cf7ea67bb6989d894f4.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].30cd06ecff7ad73f5e91.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3838d4131a861b4c9f3e.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].38bcbaa06cd52fa1424a.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3e227d74f563e9b73655.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].3fdf87e2de6f1c12c706.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].4150b9390bfcf0557b9b.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].4cb37d9cf549a15a99e9.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].510f1f194fab47f119bb.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].5ea9f2ce18d5366c7a50.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].5ed2727cf53dbee343c6.hot-update.js    | JavaScript |         95 |         65 |         58 |        218 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].6e18445510e2979b0eaf.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].761012f6f1f5e19f5e45.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].7b2006ae05a076e0ee10.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].85c3e809bad5d9b28c46.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].8ba49309ce4ea767b47a.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].8e8181e26df859965e5c.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].91d861227271d1e5bf9a.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].97ee05bcd9d95973c39d.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].98da0d81b7cc3e980bb9.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].9a361176b32882261299.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].a2ccf2f8d140d248ddf6.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].a339eff2f5f51937a169.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].a795d6f81822576a750b.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].b003e1cc77e86b5281c6.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].b2fbe4845ddd1ab8dba5.hot-update.js    | JavaScript |         72 |         56 |         49 |        177 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].b49052439488aa2b73e0.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].b6cdca29a67db4d82199.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].bc666fd2ade249bc51f0.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].bf019c7195967fcf6b80.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].c8ec046a7b2f9c192bf1.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].cb048c1c09180d3a9520.hot-update.js    | JavaScript |         12 |         14 |          7 |         33 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].cf8a7fb0c439f8353a9c.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].d65be4fe89bc1e209b8e.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].e0614abbe21b08d2ae6e.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].e9cea46dc12141122637.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].eea15485ffeb9aa64262.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].f6279e0119eb604c3983.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/order/[id].f81c0459b0e6f0d22be9.hot-update.js    | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/pages/upgrade.06c828e02ab572d6d629.hot-update.js       | JavaScript |          7 |         11 |          4 |         22 |
| /Users/AmitBoost/Desktop/Programming/reminderApp/frontend/.next/static/webpack/webpack.053251b41178ce54872c.hot-update.js             | JavaScript |          9 |         10 |          0 |         19 |
